person_id;activity_index;purpose;start_time;end_time;x;y;facility_id;link_id
46016;0;home;-Infinity;52689.0;681966.922649;5392412.821749;home_46016;46802
114825;0;home;-Infinity;52689.0;686421.049443;5389316.088859;home_114825;55081
448310;0;home;-Infinity;52690.0;681076.889607;5392707.936256;home_448310;12454
120103;1;leisure;52691.0;55260.0;726686.452773;5354219.47555;sec_2312;35678
342388;1;leisure;52694.0;57094.0;707331.171473;5359514.183388;sec_2375;62075
208463;1;shop;52694.0;57028.0;722576.036136;5357370.817473;sec_746;540
428251;0;home;-Infinity;52697.0;700497.202094;5360116.841711;home_428251;49390
350443;0;home;-Infinity;52698.0;702412.103996;5365808.195797;home_350443;72867
347444;0;home;-Infinity;52699.0;700866.997454;5358226.219278;home_347444;6555
72024;2;home;52699.0;Infinity;694760.356013;5352592.147046;home_72024;65169
199732;4;work;52699.0;55378.0;685665.076854;5378760.861657;work_8133;54652
437195;3;work;52700.0;55054.0;701461.885184;5364679.185414;work_5212;5577
175646;0;home;-Infinity;52702.0;715682.520015;5354524.589598;home_175646;72965
224362;3;work;52704.0;65007.0;719116.24308;5372840.816938;work_6021;49509
441436;1;shop;52706.0;52947.0;684849.44688;5379817.219955;sec_1843;26562
295014;0;home;-Infinity;52707.0;681716.522966;5392521.882846;home_295014;11892
166861;3;other;52712.0;61372.0;680550.524775;5374769.288133;sec_2966;50527
153723;2;shop;52712.0;59756.0;702478.971126;5364200.086124;sec_1346;53483
273142;0;home;-Infinity;52713.0;714163.629471;5360267.14123;home_273142;35123
103017;1;leisure;52713.0;53529.0;694551.034973;5351957.77149;sec_2465;18459
286310;2;home;52718.0;55679.0;703605.050616;5377972.385733;home_286310;58402
421375;0;home;-Infinity;52719.0;712089.488453;5345937.26936;home_421375;42235
262977;3;leisure;52719.0;57363.0;682039.084597;5382524.521394;sec_2879;8361
132906;1;shop;52719.0;56528.0;700661.412363;5352943.980453;sec_1442;57892
380906;0;home;-Infinity;52720.0;703855.604502;5362878.193018;home_380906;285
289087;0;home;-Infinity;52721.0;696983.74491;5404096.877126;home_289087;18072
422807;1;leisure;52725.0;54320.0;717715.654465;5366563.268163;sec_2424;48746
440348;3;shop;52726.0;68277.0;693346.204308;5405153.326168;sec_1921;4003
387934;1;shop;52726.0;55385.0;679591.194467;5366876.07468;sec_1778;56484
192457;3;work;52728.0;69746.0;699483.569561;5356308.401932;work_6724;54565
233662;0;home;-Infinity;52729.0;684237.786566;5369419.30392;home_233662;8905
242804;1;leisure;52730.0;59529.0;731771.276538;5357092.379033;sec_2303;64171
376925;0;home;-Infinity;52732.0;716877.632657;5362943.302386;home_376925;66904
198201;0;home;-Infinity;52732.0;681601.720814;5381935.305851;home_198201;18535
275292;0;home;-Infinity;52733.0;705454.201433;5382419.050757;home_275292;63660
282324;5;leisure;52734.0;54798.0;720217.956368;5368664.384003;sec_2425;52300
138219;1;leisure;52734.0;54064.0;683652.814484;5377240.624719;sec_2923;8495
105196;0;leisure;-Infinity;52737.0;711666.556457;5381334.36111;sec_2736;30100
108272;1;leisure;52737.0;56266.0;697393.530106;5353840.535337;sec_2709;64903
84987;2;home;52738.0;55939.0;687259.989171;5365650.020434;home_84987;47058
414786;1;other;52741.0;57705.0;715267.340756;5351844.563456;sec_910;58674
230075;1;leisure;52741.0;56097.0;675124.010506;5385404.927432;sec_2823;1189
14406;2;home;52741.0;Infinity;732645.839463;5349820.626209;home_14406;49381
46672;3;education;52743.0;61361.0;738341.307476;5350166.362742;edu_22;37836
100457;1;other;52743.0;66542.0;727394.643925;5359338.874165;sec_6701;21463
424682;0;home;-Infinity;52744.0;693609.096651;5353100.143629;home_424682;47359
267151;4;leisure;52744.0;65757.0;716178.61026;5351309.371727;sec_2195;45182
131471;4;other;52744.0;53179.0;716622.566709;5373181.092396;sec_494;66593
266188;1;leisure;52745.0;66439.0;734592.706875;5354690.308098;sec_2128;70152
154445;3;work;52746.0;71606.0;704086.073544;5362992.791931;work_5062;492
256776;3;work;52747.0;59347.0;710666.753398;5383036.334835;work_7198;45859
23698;0;home;-Infinity;52748.0;705231.603262;5370137.489558;home_23698;10305
342111;3;leisure;52748.0;58154.0;714395.367879;5346360.733024;sec_2348;30916
235554;3;other;52748.0;58249.0;693093.911022;5405137.803267;sec_1938;64724
234055;5;work;52749.0;55689.0;690230.088755;5387349.712158;work_8481;36089
11066;3;other;52749.0;56430.0;684813.47399;5373442.578723;sec_2093;4197
238622;0;home;-Infinity;52751.0;722686.288563;5357046.805034;home_238622;46052
33802;0;home;-Infinity;52752.0;702704.851696;5381523.409298;home_33802;3454
311367;0;home;-Infinity;52752.0;702391.303798;5364376.483955;home_311367;55944
251255;0;home;-Infinity;52752.0;704868.081457;5364516.992869;home_251255;50157
70430;1;leisure;52752.0;56135.0;719945.710524;5343448.738237;sec_2338;47129
292959;1;leisure;52752.0;55242.0;698326.450805;5390533.839326;sec_3056;67964
243862;0;home;-Infinity;52754.0;730358.012654;5359033.490626;home_243862;34597
