person_id;operator_id;main_mode;vehicle_id;origin_link_id;origin_x;origin_y;destination_link_id;destination_x;destination_y;departure_time;arrival_time;waiting_time;distance
135159;drt;drt;NaN;13123;706212.025275209;5373708.168515217;null;NaN;NaN;21093.0;NaN;NaN;0.0
233959;drt;drt;NaN;65449;689203.2140121385;5386926.351150499;null;NaN;NaN;21094.0;NaN;NaN;0.0
285900;drt;drt;NaN;31534;714380.5949413732;5377600.789101025;null;NaN;NaN;21107.0;NaN;NaN;0.0
182161;drt;drt;NaN;7410;720539.5061375936;5365146.233751832;null;NaN;NaN;21120.0;NaN;NaN;0.0
167011;drt;drt;NaN;36265;683361.700582546;5378998.315501185;null;NaN;NaN;21133.0;NaN;NaN;0.0
248104;drt;drt;NaN;20103;693213.2292313527;5356303.854348057;null;NaN;NaN;21158.0;NaN;NaN;0.0
140081;drt;drt;NaN;7639;691001.1897524261;5402055.821774997;null;NaN;NaN;21190.0;NaN;NaN;0.0
351974;drt;drt;NaN;14714;697406.179627914;5373874.053556527;null;NaN;NaN;21320.0;NaN;NaN;0.0
253498;drt;drt;NaN;6959;716761.4798448405;5373822.400968768;null;NaN;NaN;21346.0;NaN;NaN;0.0
397915;drt;drt;NaN;78372;706441.7810014691;5348704.116307193;null;NaN;NaN;21361.0;NaN;NaN;0.0
315145;drt;drt;NaN;52178;695473.232302197;5372640.235907565;null;NaN;NaN;21364.0;NaN;NaN;0.0
244962;drt;drt;NaN;77614;715171.3487483007;5347280.148739623;null;NaN;NaN;21365.0;NaN;NaN;0.0
323724;drt;drt;NaN;18687;677687.3673907502;5388050.642935276;null;NaN;NaN;21369.0;NaN;NaN;0.0
157273;drt;drt;NaN;49128;705369.6101532143;5359036.389966799;null;NaN;NaN;21381.0;NaN;NaN;0.0
87932;drt;drt;NaN;19721;683159.8527231622;5377094.9705807865;null;NaN;NaN;21400.0;NaN;NaN;0.0
406625;drt;drt;NaN;42839;676298.164550792;5384182.491030408;null;NaN;NaN;21401.0;NaN;NaN;0.0
86652;drt;drt;NaN;47067;702973.3157858155;5377962.611770807;null;NaN;NaN;21403.0;NaN;NaN;0.0
316200;drt;drt;NaN;72490;706711.2295268992;5365506.717182921;null;NaN;NaN;21437.0;NaN;NaN;0.0
146577;drt;drt;NaN;46860;720045.1027672887;5339897.888706519;null;NaN;NaN;21437.0;NaN;NaN;0.0
139091;drt;drt;NaN;43251;682702.7391209875;5368405.447191123;null;NaN;NaN;21447.0;NaN;NaN;0.0
179095;drt;drt;NaN;15741;731352.4940961115;5359563.427067646;null;NaN;NaN;21451.0;NaN;NaN;0.0
230672;drt;drt;NaN;3753;680812.1304112992;5398071.856707061;null;NaN;NaN;21465.0;NaN;NaN;0.0
264023;drt;drt;NaN;8033;689679.0922148259;5401010.494895089;null;NaN;NaN;21468.0;NaN;NaN;0.0
204900;drt;drt;NaN;46241;723307.9349681579;5353140.039837383;null;NaN;NaN;21481.0;NaN;NaN;0.0
120157;drt;drt;NaN;4345;731768.314596208;5360080.012876187;null;NaN;NaN;21502.0;NaN;NaN;0.0
288204;drt;drt;NaN;22605;678978.189591842;5367378.573524687;null;NaN;NaN;21535.0;NaN;NaN;0.0
165236;drt;drt;NaN;63502;678329.0746001464;5367711.97201703;null;NaN;NaN;21537.0;NaN;NaN;0.0
166607;drt;drt;NaN;28189;684688.3193632471;5378954.170523434;null;NaN;NaN;21570.0;NaN;NaN;0.0
108099;drt;drt;NaN;39623;707209.3693655066;5379384.002697909;null;NaN;NaN;21576.0;NaN;NaN;0.0
85751;drt;drt;NaN;3993;707168.3460785201;5380213.892741568;null;NaN;NaN;21606.0;NaN;NaN;0.0
